"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","BottomMonth","BottomQuarter","BottomZHVI","PctFallFromPeakToBottom"
2014-02-28,"University Park","CO","Denver","Denver","Denver",1538,461700,0.00347750489024125,0.0171844018506279,0.0774795799299883,0.0348078837311827,0.0342465782765591,2152,"2014-02","2014-Q1",461700,0,"2014-02",,,,
2014-02-28,"Land Park","CA","Sacramento","Sacramento","Sacramento",1539,482000,-0.00741350906095552,-0.0161257399469279,0.171039844509232,0.03532218521063,0.0160627305884311,2923,"2005-11","2005-Q4",572600,-0.158225637443241,"2004-10","2011-10","2011-Q4",346400,-0.395040167656305
2014-02-28,"University District","MT","Missoula","Missoula","Missoula",1540,318800,-0.00778089013383131,-0.0295281582952816,-0.011166253101737,,,1045,"2012-11","2012-Q4",340100,-0.0626286386356954,"2012-05","2014-02","2014-Q1",318800,-0.0626286386356954
2014-02-28,"Reservoir","AR","Little Rock","Pulaski","Little Rock",1541,163500,-0.0024405125076266,-0.00728597449908925,-0.0209580838323353,-0.00242868685211484,0.010009838260109,1775,"2007-03","2007-Q1",171700,-0.0477577169481654,"2005-10","2010-08","2010-Q3",160300,-0.0663948747815958
2014-02-28,"Mayfair","IL","Chicago","Cook","Chicago",1542,240500,0.00459482038429407,0.0199321458863444,0.0862691960252936,-0.0406774041873469,-0.0132797659732591,1134,"2006-05","2006-Q2",348500,-0.309899569583931,"2002-11","2012-05","2012-Q2",208300,-0.402295552367288
2014-02-28,"West Sugar Creek-W T Harris Bl","NC","Charlotte","Mecklenburg","Charlotte",1543,114300,-0.00261780104712042,0.00351185250219491,0.12278978388998,-0.0183656688173751,-0.0148155899947284,2131,"2007-07","2007-Q3",138600,-0.175324675324675,"1998-10","2012-09","2012-Q3",95300,-0.312409812409812
2014-02-28,"Longwood Manor","IL","Chicago","Cook","Chicago",1544,120100,0.0075503355704698,0.0135021097046414,0.0100925147182506,-0.0283870171927938,0.0029619233695326,2689,"2007-01","2007-Q1",155700,-0.228644829800899,"2004-04","2012-02","2012-Q1",106900,-0.313423249839435
2014-02-28,"East Ballard","WA","Seattle","King","Seattle",1545,455100,0.00198150594451783,0.00775022143489814,0.0820256776034237,0.0248686065407855,0.0341152167021193,1760,"2007-08","2007-Q3",468200,-0.0279794959419052,"2007-04","2012-02","2012-Q1",368000,-0.214011106364801
2014-02-28,"Ballard","WA","Seattle","King","Seattle",1546,364100,0.00220203688411781,0.00691371681415929,0.0639976621858562,0.00885443265659025,0.0268320785760852,2257,"2007-10","2007-Q4",408200,-0.108035276825086,"2006-04","2011-05","2011-Q2",308600,-0.243998040176384
2014-02-28,"Midtown","WI","Milwaukee","Milwaukee","Milwaukee",1547,56600,-0.0017636684303351,0.00176991150442478,0.0161579892280072,-0.037164563311574,-0.00174982551633096,855,"2010-01","2010-Q1",86000,-0.341860465116279,"2003-11","2013-04","2013-Q2",54100,-0.37093023255814
2014-02-28,"Spice Tract","CA","Bakersfield","Kern","Bakersfield",1548,142000,0.00995732574679943,0.0526315789473684,0.311172668513389,0.0211359354121825,0.00710058912957567,1638,"2006-05","2006-Q2",267700,-0.469555472543892,"2004-05","2011-07","2011-Q3",96000,-0.641389615240941
2014-02-28,"Otter Creek Crystal","AR","Little Rock","Pulaski","Little Rock",1549,148200,0.00135135135135135,0.00679347826086957,0.00135135135135135,-0.00413182202398377,0.00308825082912523,2118,"2006-10","2006-Q4",160900,-0.0789310130515848,"2004-09","2012-01","2012-Q1",143600,-0.107520198881293
2014-02-28,"Loretto","FL","Jacksonville","Duval","Jacksonville",1550,120100,-0.00414593698175788,-0.00579470198675497,0.0761648745519713,-0.0424646042182891,-0.00502088304333936,2899,"2006-11","2006-Q4",180400,-0.334257206208426,"2003-09","2012-02","2012-Q1",104600,-0.420177383592018
2014-02-28,"North Mayfair","IL","Chicago","Cook","Chicago",1551,257600,-0.00808625336927224,-0.0337584396099025,0.127352297592998,-0.0309180107022804,-0.00883320134100385,1306,"2006-04","2006-Q2",364600,-0.293472298409216,"2003-02","2012-05","2012-Q2",212000,-0.418540866703236
